aircraft_id,aircraft_type,manufacturer,engine_type,seating_capacity,fuel_capacity_liters,emissions_rate_co2_km,maintenance_cycle_days,in_service_date,warranty_expiry_date
AIR001,CRJ900,ATR,Turbofan,213,103224.33,2.89,101,2020-05-02,2027-12-10
AIR002,B767,ATR,Turboprop,297,17197.46,3.74,77,2020-03-20,2025-07-16
AIR003,B737,Bombardier,Turbojet,211,123878.94,2.22,83,2020-02-18,2027-01-11
AIR004,B747,ATR,High Bypass Turbofan,273,12876.55,1.75,139,2016-10-26,2029-03-05
AIR005,E175,ATR,Turbofan,163,16584.35,1.61,139,2017-02-04,2026-05-04
AIR006,B737,Boeing,High Bypass Turbofan,304,37518.22,2.53,40,2019-12-29,2028-03-08
AIR007,A330,ATR,Geared Turbofan,127,104111.46,3.78,103,2019-09-28,2027-05-26
AIR008,B747,Embraer,Turbojet,101,107860.9,3.56,32,2019-01-04,2027-10-04
AIR009,A330,Embraer,Geared Turbofan,347,76584.81,1.58,129,2020-05-11,2026-12-15
AIR010,A321,Embraer,Geared Turbofan,306,102220.33,3.89,81,2017-03-24,2025-08-02
AIR011,CRJ900,Bombardier,High Bypass Turbofan,317,50110.95,3.92,149,2019-06-27,2028-12-20
AIR012,B787,Boeing,High Bypass Turbofan,227,51191.05,2.11,79,2020-03-04,2027-12-03
AIR013,B737,Bombardier,High Bypass Turbofan,328,78504.28,3.46,39,2022-12-05,2027-12-29
AIR014,B787,Airbus,Geared Turbofan,193,112916.68,1.95,88,2018-05-08,2027-09-30
AIR015,A321,Bombardier,Geared Turbofan,181,105961.1,1.57,134,2021-05-11,2027-11-15
AIR016,B767,Boeing,Turbojet,170,49929.69,3.49,143,2017-04-16,2029-05-18
AIR017,B767,Airbus,High Bypass Turbofan,313,196007.82,3.7,65,2021-09-11,2026-02-05
AIR018,A350,Airbus,Turboprop,129,40945.78,3.05,61,2018-07-21,2028-11-28
AIR019,A320,Airbus,Turbojet,268,39111.66,3.33,94,2016-04-02,2028-12-09
AIR020,CRJ900,Airbus,Geared Turbofan,135,109847.72,2.03,40,2021-09-05,2030-03-20
AIR021,E190,ATR,Turbojet,133,109643.98,3.96,52,2024-03-28,2025-11-02
AIR022,E175,Bombardier,High Bypass Turbofan,300,168569.76,2.15,178,2019-12-11,2027-12-17
AIR023,A321,Boeing,Turboprop,124,89082.12,2.26,156,2020-05-25,2026-07-03
AIR024,A321,Bombardier,Geared Turbofan,243,135493.29,1.94,94,2023-02-13,2029-11-03
AIR025,A321,Bombardier,Turbofan,348,123080.18,3.3,92,2020-11-10,2029-02-16
AIR026,B737,Airbus,High Bypass Turbofan,138,98822.73,3.68,179,2024-05-31,2029-04-15
AIR027,B777,Embraer,Turbojet,250,94201.91,3.88,106,2024-06-26,2028-04-15
AIR028,B787,Bombardier,High Bypass Turbofan,318,74353.51,3.65,152,2023-12-29,2025-09-21
AIR029,B787,Bombardier,Turboprop,312,175653.74,3.79,79,2018-11-05,2028-09-20
AIR030,CRJ900,Embraer,Turboprop,206,170271.99,1.5,146,2019-06-06,2029-12-16
AIR031,B747,Bombardier,Turboprop,190,40987.82,3.68,125,2016-05-07,2029-11-10
AIR032,B787,ATR,Turboprop,162,53990.05,3.66,43,2016-08-28,2029-12-27
AIR033,A321,Airbus,Turbofan,142,157245.53,2.3,153,2018-09-23,2027-12-26
AIR034,B737,ATR,Turbofan,134,74162.79,3.86,99,2016-06-12,2026-08-18
AIR035,B777,Airbus,Turbojet,161,27435.19,1.63,84,2020-04-05,2026-11-29
AIR036,B757,ATR,Turbofan,131,153315.24,2.09,119,2015-12-04,2029-04-06
AIR037,B767,ATR,Geared Turbofan,120,15448.9,3.65,44,2023-09-04,2030-06-06
AIR038,A350,Airbus,High Bypass Turbofan,141,28679.52,3.21,146,2022-08-29,2027-05-18
AIR039,B737,ATR,High Bypass Turbofan,296,119792.3,2.38,105,2018-08-13,2026-06-14
AIR040,A350,Embraer,Geared Turbofan,263,88463.52,1.56,30,2022-02-09,2029-01-29
AIR041,CRJ900,Bombardier,Turboprop,311,122005.55,3.99,146,2023-11-18,2029-04-09
AIR042,B757,Airbus,Turbojet,225,32426.16,2.77,108,2023-06-10,2029-07-27
AIR043,A320,Embraer,High Bypass Turbofan,217,88555.21,2.3,52,2022-11-27,2028-07-18
AIR044,B777,Embraer,Geared Turbofan,255,89440.25,2.43,34,2016-07-21,2028-09-12
AIR045,B747,ATR,Turbofan,323,14305.53,3.67,92,2019-10-29,2026-01-03
AIR046,A321,Boeing,Geared Turbofan,283,135359.49,3.45,126,2020-12-16,2027-07-22
